to	from	Notes
engage for change	Outreach	
Cambridge Zero	Carbon/Energy	
Ethical Network	Outreach	
Cambridge Hub	Outreach	
CUSU Ethical Affairs	Outreach	
Climate and Sustainability Forum	Outreach	
UoC Sustainability Team	Carbon/Energy	
Living Laboratory for Sustainability	Outreach	
Student Switch-Off	Outreach	
Cambridge Carbon Footprint	Carbon/Energy	
Positive Investment Cambridge	Carbon/Energy	
CU Energy Network	Carbon/Energy	
CU Environmental Consulting Society	Carbon/Energy	
Green Impact Cambridge	Outreach	
Transition Cambridge	Carbon/Energy	
CU Marine Conservation Society	Nature/Biodiversity	
CU Wildlife Conservation Trust	Nature/Biodiversity	
CU Nature Society	Nature/Biodiversity	
CU Vegan Society	Food	
Cambridge Sustainable Food (CSF)	Food	
Foodcycle	Food	
CU Foodbank Society	Food	
The Cambridge Green Challenge	Outreach	
Banking Environment Initiative	Finance	
Science and Policy Exchange	Development	
Cambridge Development Initiative	Development	
Cambridge Conservation Forum	Nature/Biodiversity	
Cambridge Conservation Initiative	Nature/Biodiversity	
Cambridge food hub	Food	
Edible Garden	Nature/Biodiversity	
Cam valley forum	Nature/Biodiversity	
Environmental Improvement Programme	Nature/Biodiversity	
Cambridge Conservation Volunteers	Nature/Biodiversity	
CambridgeEnvironmentStrategy	Development	
Cambridge Institute for Sustainability Leadership	Development	
louderthanthestorm	Outreach	
cambridgedoughnut	Development	
Cambridge Carbon Literacy	Carbon/Energy	
Cambridge Carbon Literacy	Cambridge Hub	
Green Society of Wolfson College	Outreach	
Built Environment	Infrastructure	
Sustainability and Conservation Interdisciplinary Research Hub	Nature/Biodiversity	
cambridgecarbonmap	Carbon/Energy	
Cambridge network	Nature/Biodiversity	
Cambridge network	Carbon/Energy	
Cambridge network	Food	
Cambridge network	Outreach	
Cambridge network	Finance	
Cambridge network	Reuse and recycle	
Cambridge network	Development	
Cambridge network	Infrastructure	
Cambridge network	Travel	
Reuse and recycle	cambridgereuse	
Reuse and recycle	circularcambridge	
Food	SCOOP Cambridge	
Reuse and recycle	Warp It	
Travel	Greater Cambridge Greenways	
Research	Cambridge Zero	
Research	UoC Sustainability Team	
Research	Living Laboratory for Sustainability	
Research	Positive Investment Cambridge	
Research	CU Energy Network	
Research	Science and Policy Exchange	
Research	Cambridge Development Initiative	
Research	Sustainability and Conservation Interdisciplinary Research Hub	
Research	cambridgecarbonmap	
Outreach	Collegial	
Collegial	Wolfson College	
Wolfson College	Green Society of Wolfson College	
Collegial	Clare College	
Clare College	Clare Goes Green	
Collegial	Trinity College	
Trinity College	Isaac Newnton Trust	
Isaac Newnton Trust	Cambridge Zero	
Finance	Isaac Newnton Trust	
UoC Sustainability Team	The Cambridge Green Challenge	The Cambridge Green Challenge is run by the Sustainability Team
Outreach	XR Cambridge	
Cambridge Zero	Living Laboratory for Sustainability	The Living Lab is part of Cambridge Zero
Outreach	Clare Goes Green	
Cambridge Hub	engage for change	
Cambridge Hub	Edible Garden	
Cambridge Zero	engage for change	    Engage for Change is proudly sponsored and delivered in partnership with the University of Cambridge, namely with Cambridge Zero and Environment & Energy.
UoC Sustainability Team	engage for change	    Engage for Change is proudly sponsored and delivered in partnership with the University of Cambridge, namely with Cambridge Zero and Environment & Energy [latter recently renamed Sustainability Team].
Research	cambridgecarbonmap	
Research	open-seneca	
Research	Winton Programme for the Physics of Sustainability	
Research	camemergency	
Research	Crop Science Centre	
Research	CambPlants Hub	
The Wildlife Trust BCN	Nature/Biodiversity	
CoFarm Cambridge	Food	
Cambridge Global Food Security	Food	
Cambridge Global Food Security	Research	
Industrial Sustainability	Research	
Cambridge Conservation Internship Scheme	Research	
Cambridge Infrastructure Resilience Group	Research	
Cambridge Infrastructure Resilience Group	Infrastructure	
Centre for Climate Repair	Research	
Centre for Climate Repair	Cambridge Zero	Collaboration
climate-science	Cambridge Zero	
Bennett Institute for Public Policy	Research	
Centre for Science and Policy	Research	
Centre for Science and Policy	Policy	
Use Less Group	Research	
Department of Engineering	Use Less Group	
cambridgecarbonfootprint	Carbon/Energy	
cambridgecarbonfootprint	Outreach	
Cambridge city council	Politics	
Climate Change Strategy consultation	Cambridge city council	
Greater Cambridge Local Plan	Politics	
Cambridge Ahead	Politics	Infrastructure	
Newnham Environmental Justice Society	Outreach	
AI for the study of Environmental Risk	Research	
Advanced Nanotube Application and Manufacturing Initiative	Research	
Cambridge Centre for Climate Science	Research	
Cambridge Institute for Public Health	Research	
Cambridge Judge Business School	Research	
CamBridgeSens	Research	
Carbon Capture, Storage and Use	Research	
Centre for Alternative Finance	Research	
Centre for Carbon Reduction in Chemical Technology	Research	
Centre for Diet and Activity Research	Research	
Centre for Digital Built Britain	Research	
Centre for Environment, Energy and Natural Resource Governance	Research	
Centre for Gender Studies	Research	
Centre for Industrial Sustainability	Research	
Centre for Natural Material Innovation	Research	
Centre for Risk Studies	Research	
Centre for Smart Infrastructure and Construction	Research	
Centre for Social Innovation	Research	
Centre for Sustainable Development	Research	
Centre for Sustainable Road Freight	Research	
Centre for the Study of Existential Risk	Research	
Centre for the Study of Global Human Movement	Research	
Centre of Advanced Materials for Integrated Energy Systems	Research	
Circular Economy Centre	Research	
Climate Change and Earth-Ocean-Atmosphere Systems	Research	
Combustion Research Group	Research	
Conservation Research Institute	Research	
Creative Circular Plastics Centre	Research	
Energy Efficient Cities Initiative	Research	
Energy Transitions@Cambridge	Research	
Energy Policy Research Group	Research	
Mechanics, Materials and Design	Research	
Nuclear Energy Centre	Research	
Public Health@Cambridge	Research	
Real Estate Research Centre	Research	
Resilient Materials for Life	Research	
Resource Efficiency Collective	Research	
Social Decision-Making Lab	Research	
Sustainable Design Group	Research	
Whittle Laboratory	Research	
AI for the study of Environmental Risk	UoC	
Advanced Nanotube Application and Manufacturing Initiative	UoC	
Cambridge Centre for Climate Science	UoC	
Cambridge Institute for Public Health	UoC	
Cambridge Judge Business School	UoC	
CamBridgeSens	UoC	
Carbon Capture, Storage and Use	UoC	
Centre for Alternative Finance	UoC	
Centre for Carbon Reduction in Chemical Technology	UoC	
Centre for Diet and Activity Research	UoC	
Centre for Digital Built Britain	UoC	
Centre for Environment, Energy and Natural Resource Governance	UoC	
Centre for Gender Studies	UoC	
Centre for Industrial Sustainability	UoC	
Centre for Natural Material Innovation	UoC	
Centre for Risk Studies	UoC	
Centre for Smart Infrastructure and Construction	UoC	
Centre for Social Innovation	UoC	
Centre for Sustainable Development	UoC	
Centre for Sustainable Road Freight	UoC	
Centre for the Study of Existential Risk	UoC	
Centre for the Study of Global Human Movement	UoC	
